log_file,request_id,model,prompt_category,parameter,type,format,value,status,violations
llm-communication-20260505-122355.log,1,deepseek-chat,positive_gen,boughtDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,3,deepseek-chat,simple_gen,boughtDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,7,deepseek-chat,diverse_gen,boughtDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,8,deepseek-chat,positive_gen,boughtDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,10,deepseek-chat,simple_gen,boughtDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,14,deepseek-chat,diverse_gen,boughtDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,15,deepseek-chat,positive_gen,boughtDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,16,deepseek-chat,positive_gen,boughtDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,18,deepseek-chat,simple_gen,enableBoughtDateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,22,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,23,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,25,deepseek-chat,simple_gen,enableStateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,29,deepseek-chat,positive_gen,enableStateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,30,deepseek-chat,positive_gen,enableStateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,31,deepseek-chat,positive_gen,enableTravelDateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,33,deepseek-chat,simple_gen,enableTravelDateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,37,deepseek-chat,positive_gen,enableTravelDateQuery,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,38,deepseek-chat,positive_gen,loginId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,39,deepseek-chat,positive_gen,loginId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,40,deepseek-chat,positive_gen,state,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,69,deepseek-chat,simple_gen,state,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,73,deepseek-chat,diverse_gen,state,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,76,deepseek-chat,positive_gen,state,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,77,deepseek-chat,positive_gen,travelDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,79,deepseek-chat,simple_gen,travelDateEnd,string,,,abstained,abstained: LLM emitted no value
